	LncRNA name	Synonyms	Ensembl ID	Refseq ID	Position	Cancer name	ICD-0-3-T	ICD-0-3-M	Methods	Sample (tissue/ cell line)	Expression pattern	Functional description	PubMed ID	Year	Title
13	AC007403.1	AC007403.1	ENSG00000232688	NR_110600	chr2:66921510-66922457	non-small cell lung cancer	C34	M8046/3	microarray, qPCR etc.	NSCLC tissue	up-regulated	We discovered that three lncRNAs (RP11-397D12.4, AC007403.1, and ERICH1-AS1) were up regulated in NSCLC, compared with cancer-free controls. RP11-397D12.4, AC007403.1, and ERICH1-AS1 may be potential biomarkers for predicting the tumorigenesis of NSCLC in the future.	26393913	2015	Three circulating long non-coding RNAs act as biomarkers for predicting NSCLC.
14	AC013264.2	AC013264.2	ENSG00000231621	N/A	chr2:197197991-197199273	non-small cell lung cancer	C34	M8046/3	microarray, qPCR etc.	NSCLC tissue	down-regulated	we initially identified a number of significant candidate lncRNAs (including GUCY1B2, RP11-385J1.2, AC018865.8, RP11-909N17.3, GNAS-AS1, TUBA4B, Z82214.3, XLOC_000371, AC013264.2 and RP1-317E23.3) and verified the expression of these lncRNAs by RT-qPCR with GAPDH as the reference gene, by calculating the 2-CT values.	25394782	2014	Detection of long-chain non-encoding RNA differential expression in non-small cell lung cancer by microarray analysis and preliminary verification.
15	AC026166.2-001	MTCO1P5; AC026166.2-001	ENSG00000233026	N/A	chr3:12165299-12165642	laryngeal squamous cell carcinoma	C32	M8070/3	microarray, qPCR etc.	LSCC tissue	down-regulated	AC026166.2-001 and RP11-169D4.1-001 were distinctly dysregulated, with AC026166.2-001 exhibiting lower expression in cancer tissues and RP11-169D4.1-001 higher expression. We verified that both AC026166.2-001 and RP11-169D4.1-001 were expressed at a lower level in cervical lymph nodes compared with paired laryngeal cancer tissues and paired normal tissues. RP11-169D4.1-001 levels were positively correlated with lymph node metastasis.	25243407	2014	Long non-coding RNA profiling in laryngeal squamous cell carcinoma and its clinical significance: potential biomarkers for LSCC.
16	AC079776.2	AC079776.2	ENSG00000214100	N/A	chr2:129922863-129934317	lung adenocarcinoma	C34	M8140/3	microarray, qPCR etc.	lung adenocarcinoma tissue	down-regulated	We initially identified a number of interesting candidate lncRNAs for further analysis. Of these, LOC100132354 and RPLP0P2 exhibited the most significantly changed expression in our analysis of 100 pairs of lung adenocarcinoma and normal lung tissue samples. The expression of LOC100132354 was significantly higher in lung adenocarcinoma than in the adjacent tissues, while the expression of RPLP0P2 was significantly lower in lung adenocarcinoma than in the adjacent tissues.	25089627	2014	Long noncoding RNA expression profiles of lung adenocarcinoma ascertained by microarray analysis.
17	AC090952.4.1	AC090952.4.1	N/A	N/A	chr3:14350000-14810000	non-small cell lung cancer	C34	M8046/3	microarray, qPCR, Western bolt, RNAi etc.	cell lines (A549, CDDP etc.)	down-regulated	For lncRNA, the results showed that AK123263, CES1P1-001, RP3-508I15.14, AK126698, TP53TG1, and AC090952.4.1 decreased, whereas uc003bgl.1 and NCRNA00210 increased in A549/CDDP (all P <0.05). Cisplatin resistance in non-small-cell lung cancer cells may relate to the changes in noncoding RNAs. Among these, AK126698 appears to confer cisplatin resistance by targeting the Wnt pathway.	23741487	2013	The noncoding RNA expression profile and the effect of lncRNA AK126698 on cisplatin resistance in non-small-cell lung cancer cell.
18	AC104699.1	AC104699.1	ENSG00000224220	N/A	chr2:25421117-25427643	gastric cancer	C16		microarray, qPCR etc.	gastric cancer tissue	up-regulated	The expression levels of six up-regulated lncRNAs (XLOC_010235, CACNAICAS3, INTS7, AC104699.1, TSNAX-DISC1, and PRSS21) and six down-regulated lncRNAs (RP11-789C1.1, RP11-528G1.2, MYLK-AS1, RP11-643M14.1, GS1-5L10.1, and AP001439.2) were determined by using qPCR.	26045391	2015	Identification of differentially expressed signatures of long non-coding RNAs associated with different metastatic potentials in gastric cancer.
19	AC130710	GACAT3; AC130710; lncRNA-AC130710; LINC01458	ENSG00000236289	N/A	chr2:16050427-16085801	gastric cancer	C16		qPCR etc.	gastric cancer tissue, cell lines (AGS, BGC-823, MGC-803, SGC-7901 etc.)	up-regulated	AC130710 in gastric cancer was significantly higher. Its expression level was significantly associated with tumor size, tumor-node-metastasis (TNM) stages, and distal metastasis. miR-129-5p may play an important role in the downregulation of AC130710 in gastric cancer cells. These results indicated that lncRNA-AC130710 may be a potential tumor marker for gastric cancer prognosis.	24969565	2014	lncRNA-AC130710 targeting by miR-129-5p is upregulated in gastric cancer and associates with poor prognosis.
20	AC138128.1	AC138128.1	N/A	N/A	chr19:45414000-45504000	gastric cancer	C16		qPCR etc.	gastric cancer tissues, cell lines (AGS, SGC-7901, BGC-823, HG27)	down-regulated	The results showed that the expression level of AC138128.1 in GC was significantly decreased compared to that in NAT. Levels of AC138128.1 in the GC cell lines, AGS BGC-823, HG27, and SGC-7901 were lower than those in the human normal gastric epithelial cell line GES-1. lncRNA AC138128.1 might be a novel biomarker for predicting GC.	25260808	2014	The novel long noncoding RNA AC138128.1 may be a predictive biomarker in gastric cancer.
21	ADAMTS9-AS2	ADAMTS9-AS2	ENSG00000241684	NR_038264	chr3:64684909-65011468	glioma		M9380/3	qPCR, Western blot, RNAi etc.	glioma tumor tissue, cell lines (T98G, A172, SNB-19 etc.)	down-regulated	The results showed that the ADAMTS9-AS2 expression was significantly downregulated in tumor tissues compared with normal tissues and reversely associated with tumor grade and prognosis. We also found that ADAMTS9-AS2 expression was negatively correlated with DNA methyltransferase-1 (DNMT1). In addition, DNMT1 knockdown led to remarkable enhancement of ADAMTS9-AS2 expression. Overexpression of ADAMTS9-AS2 resulted in significant inhibition of cell migration in glioma, whereas knockdown of ADAMTS9-AS2 showed the opposite effetc.	24833086	2014	A new tumor suppressor LncRNA ADAMTS9-AS2 is regulated by DNMT1 and inhibits migration of glioma cells.
22	ADAMTS9-AS2	ADAMTS9-AS2	ENSG00000241684	NR_038264	chr3:64684909-65011468	non-small cell lung cancer	C34	M8046/3	microarray, qPCR etc.	NSCLC tissue	down-regulated	The expression level of ADAMTS9-AS2, C1401f132 and LINC00312 in NSCLC tumors were indeed significantly down-regulated when compared with those in normal lung tissues, while LINC00673 was significantly up-regulated in NSCLC tumors compared with normal lung tissues.These lncRNAs could be further exploited for the development of useful biomarkers in diagnosis, prognosis and treatment of NSCLC.	25590602	2015	Identification and Validation of Long non-coding RNA Biomarkers in Human Non-Small Cell Lung Carcinomas.
23	AF070632	AF070632	N/A	N/A	chr1:111770671-111772569	hepatocellular carcinoma	C22.0	M8170/3	microarray, qPCR etc.	HCC tissue	down-regulated	We noted that LINC01419 was characterized by a significant increase in transcript expression from dysplasia to early HCC. The lncRNA AK021443 was also up-regulated in advanced HCC samples when compared with early HCC. Moreover, expression of LINC01419 and AK021443 was up-regulated in HCC tissues when compared with non-tumor liver tissue. AF070632 expression was down-regulated in HCC and was decreased in advanced HCC when compared with early HCC. These results suggest that LINC01419 may be related to the initiation of HCC, whereas AK021443 and AF070632 may be associated with the progression of HCC.	26540467	2015	Long non-coding RNA expression profiles of hepatitis C virus-related dysplasia and hepatocellular carcinoma.
24	AF075041	AF075041	N/A	N/A	chr5:14772880-14774510	pancreatic cancer	C25		qPCR etc.	pancreatic cancer tissue, cell lines (Sw1990, PANC-1, BXPC-3 etc.)	up-regulated	We further confirmed the selected 6 up-regulation of LncRNAs in PC tissues and PC cell lines through qPCR. Comparing to 293T cells, the expression of LncRNA AF339813 was significantly increased about 10-fold in PANC-1 cells, 8-fold in SW1990 cells and 8.9-fold in BxCP-3 cells. The other 5 LncRNAs have a certain degree of up-regulation in PC cell lines.	26045769	2015	Downregulation of NUF2 inhibits tumor growth and induces apoptosis by regulating lncRNA AF339813.
25	AF086415	AF086415	N/A	N/A	chr19:6371790-6375340	nasopharyngeal carcinoma	C11		microarray, qPCR, RNAi etc.	nasopharyngeal carcinoma tissue, cell lines (CNE-2 etc.)	down-regulated	qPCR results were consistent with the microarray analysis results of six lncRNAs (AF086415, AK095147, RP1-179N16.3, MUDENG, AK056098, and AK294004) in terms of regulation direction and significance.	24379026	2014	Curcumin enhances the radiosensitivity in nasopharyngeal carcinoma cells involving the reversal of differentially expressed long non-coding RNAs.
26	AF116616	ASLNC13387; AF116616	N/A	N/A	chr10:102097816-102110969	osteosarcoma		M9180/3	microarray, qPCR etc.	primary osteosarcoma tissue	down-regulated	The results demonstrated that ASLNC21868, ASLNC22124, ASLNC23844, ASLNC24587, BE503655 and BC050642 were over-regulated and that ASLNC00339, ASLNC11435, ASLNC13387 and ASLNC18814 were under-regulated in the osteosarcoma samples compared with normal samples. The qPCR results and microarray data are consistent.	23466354	2013	Microarray expression profile of long noncoding RNAs in human osteosarcoma.
27	AF118081	AF118081	N/A	N/A	chr19:36070239-36071070	lung cancer	C34		qPCR, RNAi etc.	lung cancer tissue, cell lines (16HBE) 	up-regulated	LncRNA AF118081 was identified as the most significantly overexpressed lncRNA in 16HBE-T cells, lung cancer cells, and patient samples. Cell proliferation, colony formation, apoptosis, migration, and invasion were assayed in 16HBE-T cells following the knockdown of lncRNA AF118081 with small interfering RNA. AF118081 knockdown inhibited cell growth and tumor invasion. An in vivo (nude mouse) model was then used to assay tumor growth, and the downregulation of AF118081 clearly suppressed tumor growth, consistent with the results of the in vitro assays.	25050996	2014	Oncogenic role of long noncoding RNA AF118081 in anti-benzo[a]pyrene-trans-7,8-dihydrodiol-9,10-epoxide-transformed 16HBE cells.
28	AF268386	AF268386	N/A	N/A	chr1:162784760-162787200	malignant pleural mesothelioma		M9050/3	microarray, qPCR etc.	MPM tissue, cell lines (H28, H226, H2052, H2452, MSTO etc.)	up-regulated	AK130977 and AX746718 were both found to be down-regulated via both microarray and RT-qPCR (AK130977 Microarray (MA) = -5.207, RT-qPCR = -1.6; AX746718 MA = -3.37, RT-qPCR = -4.6), with AK130977 demonstrating fairly small changes using RT-qPCR. Similarly, BX648695, AK129685, EF177379, AK054908, AK130275, AF268386 and NR_003584 all demonstrated consistent up-regulation using both microarrays and RT-qPCR.	23976967	2013	Long non coding RNAs (lncRNAs) are dysregulated in Malignant Pleural Mesothelioma (MPM).
29	AF339813	AF339813	N/A	N/A	chr13:93292300-93296300	pancreatic cancer	C25		qPCR, Western blot, RNAi etc.	pancreatic cancer tissue, cell lines (Sw1990, PANC-1, BXPC-4 etc.)	up-regulated	We found LncRNA AF339813 was positively regulated by NUF2. We further demonstrated that knockdown of AF339813 by siRNA in PC cells significantly reduced cell proliferation and promoted apoptosis.We further demonstrated that knockdown of AF339813 by siRNA in PC cells significantly reduced cell proliferation and promoted apoptosis. Thus, we conclude that NUF2 is consistently overexpressed in human PC and NUF2 is closely linked with human PC progression through the meditator LncRNA AF339813.	26045769	2015	Downregulation of NUF2 inhibits tumor growth and induces apoptosis by regulating lncRNA AF339813.
30	AFAP1-AS1	AFAP1AS; AFAP1-AS; AFAP1-AS1; MGC10981	ENSG00000272620	NR_026892	chr4:7754090-7778928	colorectal cancer	C19.9		qPCR, RNAi ect.	CRC tissues, cell lines (HCT116 and SW480)	up-regulated	In this study, we found that AFAP1-AS1 was aberrantly over-expressed in CRC tissues and closely correlated with tumor size, TNM stage and distant metastasis. Moreover, AFAP1-AS1 depletion resulted in the inhibition of CRC cell proliferation and colony formation. In addition, AFAP1-AS1 knockdown induced G0/G1 cell cycle arrest in CRC cells.	27261589	2016	Overexpression of lncRNA AFAP1-AS1 correlates with poor prognosis and promotes tumorigenesis in colorectal cancer.
31	AFAP1-AS1	AFAP1AS; AFAP1-AS; AFAP1-AS1; MGC10981	ENSG00000272620	NR_026892	chr4:7754090-7778928	esophageal adenocarcinoma	C15	M8140/3	qPCR etc.	EAC tissue, cell lines (OE-33, SK-GT-4, FLO-1, HEEpiC etc.)	up-regulated	Using quantitative reverse-transcription PCR, we assessed expression levels of AFAP1-AS1 in 20 matched pairs of human EAC and adjacent NE as well as in 12 matched pairs of human benign BE and adjacent NE. AFAP1-AS1 expression was elevated relative to NE in the majority of EACs (15/20) and BEs (11/12). These data suggest that AFAP1-AS1 expression is up-regulated in both EAC cell lines and primary EAC tissues, consistent with the DNA hypomethylation observed in these same samples. BE and EAC exhibit reduced methylation that includes non-coding regions. Methylation of the long noncoding RNA AFAP1-AS1 is reduced in BE and EAC, and its expression inhibits cancer-related biologic functions of EAC cells.	23333711	2013	Hypomethylation of noncoding DNA regions and overexpression of the long noncoding RNA, AFAP1-AS1, in Barrett's esophagus and esophageal adenocarcinoma.
32	AFAP1-AS1	AFAP1AS; AFAP1-AS; AFAP1-AS1; MGC10981	ENSG00000272620	NR_026892	chr4:7754090-7778928	hepatocellular carcinoma	C22.0	M8170/3	qPCR, Western blot, Flow cytometry assay etc.	HCC cell lines (SMCC7721 and HepG2)	up-regulated	We found that increased expression of AFAP1-AS1 was significantly correlated with pathological staging (P=0.024) and lymph-vascular space invasion (LVSI) in HCC patients (P=0.007). Multivariate analyses indicated that AFAP1-AS1 represented an independent predictor for overall survival of HCC (P=0.029). Further experiments showed that knockdown of AFAP1-AS1 by si-AFAP1-AS1 decreased the proliferation and invasion in vitro and in vivo, induced cell apoptosis and blocked cell cycle in S phase via inhibition of the RhoA/Rac2 signaling	26892468	2016	Long noncoding RNA AFAP1-AS1 indicates a poor prognosis of hepatocellular carcinoma and promotes cell proliferation and invasion via upregulation of the RhoA/Rac2 signaling
33	AFAP1-AS1	AFAP1AS; AFAP1-AS; AFAP1-AS1; MGC10981	ENSG00000272620	NR_026892	chr4:7754090-7778928	lung cancer	C34		RNA-seq, qPCR, Western blot etc.	cell line (A549 )	up-regulated	AFAP1-AS1 was the most significantly upregulated in lung cancer and associated with poor prognosis. AFAP1-AS1 knockdown significantly inhibited the cell invasive and migration capability in lung cancer cells. AFAP1-AS1 knockdown also increased the expression of its antisense protein coding gene, actin filament associated protein 1 (AFAP1), and affected the expression levels of several small GTPase family members and molecules in the actin cytokeratin signaling pathway, which suggested that AFAP1-AS1 promoted cancer cell metastasis via regulation of actin filament integrity.	26245991	2015	AFAP1-AS1, a long noncoding RNA upregulated in lung cancer and promotes invasion and metastasis.
34	AFAP1-AS1	AFAP1AS; AFAP1-AS; AFAP1-AS1; MGC10981	ENSG00000272620	NR_026892	chr4:7754090-7778928	nasopharyngeal carcinoma	C11		microarray, qPCR, Western blot, RNAi, ISH etc.	NPC tissue, cell lines (5-8F, HNE2, HK-1)	up-regulated	AFAP1-AS1 expression was upregulated in NPC and associated with NPC metastasis and poor prognosis. In vitro experiments demonstrated that AFAP1-AS1 knockdown significantly inhibited the NPC cell migration and invasive capability. AFAP1-AS1 knockdown also increased AFAP1 protein expression. Proteomic and bioinformatics analyses suggested that AFAP1-AS1 affected the expression of several small GTPase family members and molecules in the actin cytokeratin signaling pathway. AFAP1-AS1 promoted cancer cell metastasis via regulation of actin filament integrity. 	26246469	2015	Upregulated long non-coding RNA AFAP1-AS1 expression is associated with progression and poor prognosis of nasopharyngeal carcinoma.
35	AFAP1-AS1	AFAP1AS; AFAP1-AS; AFAP1-AS1; MGC10981	ENSG00000272620	NR_026892	chr4:7754090-7778928	non-small cell lung cancer	C34	M8046/3	qPCR etc.	non-small-cell lung cancer tissue	up-regulated	Results showed that patients with high LncRNA AFAP1-AS1 expression lived shorter than those with low LncRNA AFAP1-AS1 expression (Log rank test, P<0.001). Besides, the prognostic value of LncRNA AFAP1-AS1 as well as the clinical features was assessed by Cox regression analysis. The outcome revealed that LncRNA AFAP1-AS1 was closely related to the prognosis of NSCLC	26463625	2015	The up-regulation of long non-coding RNA AFAP1-AS1 is associated with the poor prognosis of NSCLC patients
36	AFAP1-AS1	AFAP1AS; AFAP1-AS; AFAP1-AS1; MGC10981	ENSG00000272620	NR_026892	chr4:7754090-7778928	pancreatic ductal adenocarcinoma	C25.3	M8500/3	qPCR etc.	blood, cell lines (Panc1, MIAPaCa-2, Capan2, SW1990 etc.)	up-regulated	Microarray analysis revealed that up-regulation of AFAP1-AS1 expression in PDAC tissues compared with normal adjacent tissues, which was confirmed by RT-qPCR in 69/90 cases (76.7%). Its overexpression was associated with lymph node metastasis, perineural invasion, and poor survival. AFAP1-AS1 is a potential novel prognostic marker to predict the clinical outcome of PDAC patients after surgery and may be a rational target for therapy.	25925763	2015	High expression of AFAP1-AS1 is associated with poor survival and short-term recurrence in pancreatic ductal adenocarcinoma.
37	AGAP2-AS1	AGAP2-AS1; PUNISHER	ENSG00000255737	NR_027032	chr12:57726271-57728356	non-small cell lung cancer	C34	M8046/3	qPCR, Western blot, RNAi, Flow cytometry assay etc.	NSCLC tissues, cell lines (A549, PC9, SPCA1, H1975 and H1299, H520, SK-MES-1 and H1703)	up-regulated	The AGAP2-AS1 expression level was significantly upregulated in NSCLC tissues and negatively correlated with poor prognostic outcomes in patients. In vitro loss- and gain-of-function assays revealed that AGAP2-AS1 knockdown inhibited cell proliferation, migration and invasion, and induced cell apoptosis. In vivo assays also confirmed the ability of AGAP2-AS1 to promote tumor growth. Furthermore, mechanistic investigation showed that AGAP2-AS1 could bind with enhancer of zeste homolog 2 and lysine (K)-specific demethylase 1A, and recruit them to KLF2 and LATS2 promoter regions to repress their transcription. Taken together, our findings indicate that AGAP2-AS1 may act as an oncogene by repressing tumor-suppressor LATS2 and KLF2 transcription.	27195672	2016	Upregulated long non-coding RNA AGAP2-AS1 represses LATS2 and KLF2 expression through interacting with EZH2 and LSD1 in non-small-cell lung cancer cells.
38	AI364715	AI364715	N/A	N/A	chr12:54284600-54285520	gastric cancer	C16		qPCR etc.	gastric cancer tissue	down-regulated	The expression level of AI364715 in gastric cancer tissues was downregulated. Meanwhile, its expression level was closely associated with tumor size and differentiation.	25971582	2015	Reduced expression of the long non-coding RNA AI364715 in gastric cancer and its clinical significance.
39	AK021443	AK021443	N/A	N/A	chr10:94612287-94613904	hepatocellular carcinoma	C22.0	M8170/3	microarray, qPCR etc.	HCC tissue	up-regulated	We noted that LINC01419 was characterized by a significant increase in transcript expression from dysplasia to early HCC. The lncRNA AK021443 was also up-regulated in advanced HCC samples when compared with early HCC. Moreover, expression of LINC01419 and AK021443 was up-regulated in HCC tissues when compared with non-tumor liver tissue. AF070632 expression was down-regulated in HCC and was decreased in advanced HCC when compared with early HCC. These results suggest that LINC01419 may be related to the initiation of HCC, whereas AK021443 and AF070632 may be associated with the progression of HCC.	26540467	2015	Long non-coding RNA expression profiles of hepatitis C virus-related dysplasia and hepatocellular carcinoma.
40	AK022029	AK022029	N/A	N/A	chr6:75120200-75125900	pancreatic cancer	C25		qPCR etc.	pancreatic cancer tissue, cell lines (Sw1990, PANC-1, BXPC-5 etc.)	up-regulated	We further confirmed the selected 6 up-regulation of LncRNAs in PC tissues and PC cell lines through qPCR. Comparing to 293T cells, the expression of LncRNA AF339813 was significantly increased about 10-fold in PANC-1 cells, 8-fold in SW1990 cells and 8.9-fold in BxCP-3 cells. The other 5 LncRNAs have a certain degree of up-regulation in PC cell lines.	26045769	2015	Downregulation of NUF2 inhibits tumor growth and induces apoptosis by regulating lncRNA AF339813.
41	AK022159	AK022159	N/A	N/A	chr3:23437100-23442400	pancreatic cancer	C25		qPCR etc.	pancreatic cancer tissue, cell lines (Sw1990, PANC-1, BXPC-6 etc.)	up-regulated	We further confirmed the selected 6 up-regulation of LncRNAs in PC tissues and PC cell lines through qPCR. Comparing to 293T cells, the expression of LncRNA AF339813 was significantly increased about 10-fold in PANC-1 cells, 8-fold in SW1990 cells and 8.9-fold in BxCP-3 cells. The other 5 LncRNAs have a certain degree of up-regulation in PC cell lines.	26045769	2015	Downregulation of NUF2 inhibits tumor growth and induces apoptosis by regulating lncRNA AF339813.
